8.9	6
9.5	5.75
10.1	5.5
10.9	5.25
11.5	5
12.5	4.75
14.5	4.5
16.5	4.25
17.5	4.125
22.	4.125
23	4.375
22.5	4.5
21.5	4.75
20.5	5
18.1	5.5
16.5	5.75
13.9	6.5
13.	6.75
10.5	7
9.5	7
8.5	6.5
8.9	6
