0	15.475	15.842	16.0	16.0
5	15.172	15.906	16.0	16.0
10	 6.581	 7.152	 4.608	 8.223
15 	 2.658	 3.955	 3.756	 6.236
20 	 2.086	 2.164	 2.404	 5.607
25 	 2.027	 1.933	 3.369	 6.665
30 	 2.039	 1.996	 3.568	 8.861
35 	 6.3	 7.991	10.418	16.0
40 	11.554	 12.793	15.631	16.0
45 	12.907	 10.848	16.0	16.0
50 	14.281	 16.0	16.0	16.0
55 	12.041	 16.0	16.0	16.0
60 	14.132	 16.0	16.0	16.0
